Place_Id,Place_Name,Category,City,Gender,Age_Group,Avg_Rating,Rating_Count
46,Pulau Semak Daun,Bahari,Jakarta,Laki-laki,Adult,3.4,5
11,Pulau Bidadari,Bahari,Jakarta,Laki-laki,Adult,3.17,6
14,Pulau Pelangi,Bahari,Jakarta,Laki-laki,Adult,3.0,2
13,Pulau Pramuka,Bahari,Jakarta,Laki-laki,Adult,2.8,5
10,Pulau Tidung,Bahari,Jakarta,Laki-laki,Adult,2.67,3
12,Pulau Pari,Bahari,Jakarta,Laki-laki,Adult,2.67,3
56,Pantai Ancol,Bahari,Jakarta,Laki-laki,Adult,2.2,5
9,Pelabuhan Marina,Bahari,Jakarta,Laki-laki,Adult,1.33,3
350,Pantai Cipta,Bahari,Semarang,Laki-laki,Adult,3.25,4
343,Pantai Baruna,Bahari,Semarang,Laki-laki,Adult,2.67,3
363,Pantai Maron,Bahari,Semarang,Laki-laki,Adult,2.67,3
344,Pantai Marina,Bahari,Semarang,Laki-laki,Adult,1.67,3
424,Pantai Ria Kenjeran,Bahari,Surabaya,Laki-laki,Adult,2.25,4
157,Pantai Baron,Bahari,Yogyakarta,Laki-laki,Adult,4.8,5
196,Pantai Ngrenehan,Bahari,Yogyakarta,Laki-laki,Adult,4.33,3
200,Pantai Watu Kodok,Bahari,Yogyakarta,Laki-laki,Adult,4.0,5
210,Pantai Congot,Bahari,Yogyakarta,Laki-laki,Adult,3.86,7
168,Pantai Timang,Bahari,Yogyakarta,Laki-laki,Adult,3.67,3
155,Pantai Ngobaran,Bahari,Yogyakarta,Laki-laki,Adult,3.5,4
172,Pantai Indrayanti,Bahari,Yogyakarta,Laki-laki,Adult,3.5,4
173,Pantai Nglambor,Bahari,Yogyakarta,Laki-laki,Adult,3.5,4
152,Pantai Patihan,Bahari,Yogyakarta,Laki-laki,Adult,3.43,7
154,Pantai Ngrawe (Mesra),Bahari,Yogyakarta,Laki-laki,Adult,3.25,4
177,Pantai Parangtritis,Bahari,Yogyakarta,Laki-laki,Adult,3.0,5
188,Pantai Sadranan,Bahari,Yogyakarta,Laki-laki,Adult,3.0,2
187,Pantai Siung,Bahari,Yogyakarta,Laki-laki,Adult,2.83,6
195,Pantai Jogan,Bahari,Yogyakarta,Laki-laki,Adult,2.8,5
189,Pantai Nguluran,Bahari,Yogyakarta,Laki-laki,Adult,2.75,4
158,Pantai Pok Tunggal,Bahari,Yogyakarta,Laki-laki,Adult,2.71,7
201,Pantai Kesirat,Bahari,Yogyakarta,Laki-laki,Adult,2.71,7
153,Pantai Kukup,Bahari,Yogyakarta,Laki-laki,Adult,2.67,3
156,Pantai Pulang Sawal,Bahari,Yogyakarta,Laki-laki,Adult,2.6,5
197,Pantai Jungwok,Bahari,Yogyakarta,Laki-laki,Adult,2.5,4
199,Pantai Sedahan,Bahari,Yogyakarta,Laki-laki,Adult,2.5,4
182,Hutan Mangrove Kulon Progo,Bahari,Yogyakarta,Laki-laki,Adult,2.5,2
184,Pantai Sepanjang,Bahari,Yogyakarta,Laki-laki,Adult,2.33,6
126,Pantai Goa Cemara,Bahari,Yogyakarta,Laki-laki,Adult,2.33,3
185,Pantai Krakal,Bahari,Yogyakarta,Laki-laki,Adult,2.33,3
191,Pantai Drini,Bahari,Yogyakarta,Laki-laki,Adult,2.33,3
198,Pantai Greweng,Bahari,Yogyakarta,Laki-laki,Adult,2.25,4
202,Pantai Ngandong,Bahari,Yogyakarta,Laki-laki,Adult,2.25,4
180,Pantai Depok Jogja,Bahari,Yogyakarta,Laki-laki,Adult,2.0,2
186,Pantai Glagah,Bahari,Yogyakarta,Laki-laki,Adult,2.0,2
190,Pantai Samas,Bahari,Yogyakarta,Laki-laki,Adult,2.0,1
181,Pantai Sundak,Bahari,Yogyakarta,Laki-laki,Adult,1.75,4
209,Pantai Sanglen,Bahari,Yogyakarta,Laki-laki,Adult,1.0,2
228,Museum Sri Baduga,Budaya,Bandung,Laki-laki,Adult,4.2,5
213,Gedung Sate,Budaya,Bandung,Laki-laki,Adult,3.8,5
265,Museum Mandala Wangsit Siliwangi,Budaya,Bandung,Laki-laki,Adult,3.5,4
258,Museum Gedung Sate,Budaya,Bandung,Laki-laki,Adult,3.5,2
295,Museum Nike Ardilla,Budaya,Bandung,Laki-laki,Adult,3.33,9
222,Museum Konferensi Asia Afrika,Budaya,Bandung,Laki-laki,Adult,3.33,3
260,Museum Pos Indonesia,Budaya,Bandung,Laki-laki,Adult,3.33,3
221,Museum Geologi Bandung,Budaya,Bandung,Laki-laki,Adult,3.2,5
294,Taman Film,Budaya,Bandung,Laki-laki,Adult,3.14,7
272,Taman Budaya Jawa Barat,Budaya,Bandung,Laki-laki,Adult,3.0,7
325,Saung Angklung Mang Udjo,Budaya,Bandung,Laki-laki,Adult,3.0,7
255,Museum Barli,Budaya,Bandung,Laki-laki,Adult,3.0,4
290,Museum Pendidikan Nasional,Budaya,Bandung,Laki-laki,Adult,3.0,2
286,Roemah Seni Sarasvati,Budaya,Bandung,Laki-laki,Adult,3.0,1
330,Bandros City Tour,Budaya,Bandung,Laki-laki,Adult,3.0,1
285,Taman Sejarah Bandung,Budaya,Bandung,Laki-laki,Adult,2.83,6
259,Monumen Perjuangan Rakyat Jawa Barat,Budaya,Bandung,Laki-laki,Adult,2.67,3
243,Kampung Korea Bandung,Budaya,Bandung,Laki-laki,Adult,2.5,2
212,Jalan Braga,Budaya,Bandung,Laki-laki,Adult,2.0,4
234,Amazing Art World,Budaya,Bandung,Laki-laki,Adult,2.0,1
257,Monumen Bandung Lautan Api,Budaya,Bandung,Laki-laki,Adult,2.0,1
331,Kyotoku Floating Market,Budaya,Bandung,Laki-laki,Adult,1.88,8
38,Istana Negara Republik Indonesia,Budaya,Jakarta,Laki-laki,Adult,5.0,1
44,Monumen Selamat Datang,Budaya,Jakarta,Laki-laki,Adult,5.0,1
52,Kampung Cina,Budaya,Jakarta,Laki-laki,Adult,5.0,1
21,Museum Wayang,Budaya,Jakarta,Laki-laki,Adult,4.0,3
69,Freedom Library,Budaya,Jakarta,Laki-laki,Adult,3.5,2
24,Museum Nasional,Budaya,Jakarta,Laki-laki,Adult,3.25,4
48,Taman Ismail Marzuki,Budaya,Jakarta,Laki-laki,Adult,3.0,5
32,Setu Babakan,Budaya,Jakarta,Laki-laki,Adult,3.0,4
1,Monumen Nasional,Budaya,Jakarta,Laki-laki,Adult,3.0,3
70,Perpustakaan Nasional,Budaya,Jakarta,Laki-laki,Adult,3.0,3
16,Jembatan Kota Intan,Budaya,Jakarta,Laki-laki,Adult,3.0,2
50,Museum Joang 45,Budaya,Jakarta,Laki-laki,Adult,3.0,1
42,Museum Seni Rupa dan Kramik,Budaya,Jakarta,Laki-laki,Adult,2.88,8
65,Museum Basoeki Abdullah,Budaya,Jakarta,Laki-laki,Adult,2.75,4
2,Kota Tua,Budaya,Jakarta,Laki-laki,Adult,2.67,6
64,Museum Sasmita Loka Ahmad Yani,Budaya,Jakarta,Laki-laki,Adult,2.67,3
66,Museum Layang-layang,Budaya,Jakarta,Laki-laki,Adult,2.6,5
39,Museum Macan (Modern and Contemporary Art in Nusantara),Budaya,Jakarta,Laki-laki,Adult,2.5,2
73,Museum Perangko,Budaya,Jakarta,Laki-laki,Adult,2.33,6
17,Museum Fatahillah,Budaya,Jakarta,Laki-laki,Adult,2.33,3
