Place_Id,Place_Name,Description,Category,City,image_urls
1,Monumen Nasional,"Monumen Nasional atau yang populer disingkat dengan Monas atau Tugu Monas adalah monumen peringatan setinggi 132 meter (433 kaki) yang didirikan untuk mengenang perlawanan dan perjuangan rakyat Indonesia untuk merebut kemerdekaan dari pemerintahan kolonial Hindia Belanda. Pembangunan monumen ini dimulai pada tanggal 17 Agustus 1961 di bawah perintah presiden Soekarno dan dibuka untuk umum pada tanggal 12 Juli 1975. Tugu ini dimahkotai lidah api yang dilapisi lembaran emas yang melambangkan semangat perjuangan yang menyala-nyala. Monumen Nasional terletak tepat di tengah Lapangan Medan Merdeka, Jakarta Pusat.",Budaya,Jakarta,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/c3/d2/54/jakarta-amazing-tour.jpg
2,Kota Tua,"Kota tua di Jakarta, yang juga bernama Kota Tua, berpusat di Alun-Alun Fatahillah, yaitu alun-alun yang ramai dengan pertunjukan rutin tarian tradisional. Museum Sejarah Jakarta adalah bangunan era Belanda dengan lukisan dan barang antik, sedangkan Museum Wayang memamerkan boneka kayu khas Jawa. Desa Glodok, atau Chinatown, terkenal dengan makanan kaki lima, seperti pangsit dan mi goreng. Di dekatnya, terdapat sekunar dan kapal penangkap ikan di pelabuhan Sunda Kelapa yang kuno",Budaya,Jakarta,https://upload.wikimedia.org/wikipedia/commons/3/3f/Mengenang_kota_tua_jakarta_jadi_tempat_wisata_sejarah_di_ibu_kota_jakarta.jpg|https://upload.wikimedia.org/wikipedia/commons/3/3f/Mengenang_kota_tua_jakarta_jadi_tempat_wisata_sejarah_di_ibu_kota_jakarta.jpg|https://upload.wikimedia.org/wikipedia/commons/3/3f/Mengenang_kota_tua_jakarta_jadi_tempat_wisata_sejarah_di_ibu_kota_jakarta.jpg
3,Dunia Fantasi,"Dunia Fantasi atau disebut juga Dufan adalah tempat hiburan yang terletak di kawasan Taman Impian Jaya Ancol, Jakarta Utara, Indonesia. Dufan diresmikan dan dibuka pada tanggal 29 Agustus 1985.",Taman Hiburan,Jakarta,"https://www.ancol.com/shared/file-manager/Header%20Jelajah/3.jpg|https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201280gsm/events/2024/12/29/591e6cad-919d-4c23-95a5-0a7f6d2b866a-1735466532176-da6a7edce3a96e416b7f994f5bf87670.png|https://res.klook.com/image/upload/c_fill,w_750,h_563/q_80/w_80,x_15,y_15,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/atbhykkiwhuhhdibdzsj.jpg"
4,Taman Mini Indonesia Indah (TMII),"Taman Mini Indonesia Indah merupakan suatu kawasan taman wisata bertema budaya Indonesia di Jakarta Timur. Area seluas kurang lebih 150 hektare atau 1,5 kilometer persegi ini terletak pada koordinat 6°18′6.8″LS,106°53′47.2″BT",Taman Hiburan,Jakarta,https://akcdn.detik.net.id/visual/2021/04/08/wisata-tmii_169.jpeg|https://tamanmini.com/taman_jelajah_indonesia/wp-content/uploads/2023/08/630f5d8fabfaf.jpg|https://tamanmini.com/taman_jelajah_indonesia/wp-content/uploads/2023/07/banner-4.jpg
5,Atlantis Water Adventure,"Atlantis Water Adventure atau dikenal dengan Atlantis Ancol akan menyuguhkan petualangan wisata air tak terlupakan. Tempat Wisata bertemakan permainan air dengan luas 5 hektar ini memberi sensasi petualangan di 8 kolam utama. Yaitu kolam Antila, Plaza Atlas, Poseidon, Aquarius, Octopus, Kiddy Pool, dan Atlantean. Berlokasi di kawasan Ancol Jakarta Baycity, Atlantis bisa menjadi pilihan destinasi yang pas untuk wisata berenang.",Taman Hiburan,Jakarta,"https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201280gsm/events/2025/01/08/7fe57e46-3060-44f8-9219-f5e4953194b5-1736316102101-232d066e00a891d1317972242bee0b92.jpg|https://www.ancol.com/shared/images/5d3f526e-5729-4af1-8d31-5072bd832270.png|https://res.klook.com/images/fl_lossy.progressive,q_65/c_fill,w_1200,h_630/w_80,x_15,y_15,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/wbmh43n6r08ibwwtofrm/Tiket%20Atlantis%20Water%20Adventures%20di%20Jakarta.jpg"
6,Taman Impian Jaya Ancol,Taman Impian Jaya Ancol merupakan sebuah objek wisata di Jakarta Utara.  ,Taman Hiburan,Jakarta,https://phm-hotels.com/static/uploads/images/media-132dd530-0aa7-4e42-99e8-8b680338c643.jpg|https://www.ancol.com/blog/wp-content/uploads/2022/10/info-tiket-sea-world-ancol-2022-1024x768.jpg
7,Kebun Binatang Ragunan,"Kebun Binatang Ragunan adalah sebuah kebun binatang yang terletak di daerah Ragunan, Pasar Minggu, Jakarta Selatan, Indonesia. Kebun binatang seluas 140 hektare ini didirikan pada tahun 1864. Di dalamnya terdapat berbagai koleksi yang terdiri dari 295 spesies dan 4040 spesimen. Ragunan sempat ditutup selama sekitar tiga minggu sejak 19 September 2005 karena hewan-hewan di dalamnya ada yang terinfeksi flu burung, tetapi dibuka kembali pada 11 Oktober 2005.Kebun binatang ini memiliki banyak spesies hewan yang langka antara lain kakatua, orangutan, gorila, anoa dan gajah",Cagar Alam,Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Pelican_Pond_Ragunan_Zoo.jpg/960px-Pelican_Pond_Ragunan_Zoo.jpg|https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Pelican_Pond_Ragunan_Zoo.jpg/960px-Pelican_Pond_Ragunan_Zoo.jpg|https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Pelican_Pond_Ragunan_Zoo.jpg/960px-Pelican_Pond_Ragunan_Zoo.jpg
8,Ocean Ecopark,"Ocean Ecopark Salah satu zona rekreasi Ancol yang menawarkan ruang terbuka hijau serta pengalaman dan tidak melupakan sisi pendidikan bagi para pengunjung. Beragam aktivitas dan wahana seru yang bisa dimainkan di tempat rekreasi keluarga, beberapa diantaranya : Outbondholic, Rumah Energy, Rumah Lebah, Kano, Paintball, Outbondholic, Eco-Market, Learning Farm, Eco-Bike, Faunaland. Kalau berencana berwisata ke Ocean Eco Park ancol tidak perlu khawatir dengan harga tiket masuknya. Karena harga tiket masuk Ocean Eco Park ditawarkan dengan harga yang masih terjangkau.",Taman Hiburan,Jakarta,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/7c/44/17/caption.jpg|https://www.beritadaerah.co.id/wp-content/uploads/2020/12/Ecopark-Ancol-Jakarta-Utara-Foto-Jakarta-Tourism.jpg|https://www.beritadaerah.co.id/wp-content/uploads/2020/12/Ecopark.jpg
9,Pelabuhan Marina,"Pelabuhan Marina Ancol berada di kawasan Taman Impian Jaya Ancol, Jakarta. Pelabuhan yang biasa disebut Dermaga Marina Ancol ini adalah kawasan yang tidak hanya untuk keperluan penyeberangan saja, tetapi juga dikembangkan untuk banyak hal, seperti wisata air, olahraga air maupun wahana bermain. Fungsi utama dari pelabuhan ini adalah untuk melayani para penumpang yang ingin menyeberang menuju ke kepulauan Seribu, begitu juga sebaliknya. Banyak orang yang berada di Jakarta dan sekitarnya, menjadikan kepulaun Seribu sebagai tujuan wisata yang utama. Liburan di Pulau Seribu memang mampu menghilangkan kepenatan bekerja di kota metropolitan, sembari menikmati keindahan pantai yang masih terjaga dengan baik. Marina Ancol berada di Jakarta Utara atau secara lengkap beralamat di Kota Tua, Ancol, Pademangan, Kota Jakarta. Sangat mudah menuju ke tempat ini karena tidak terlalu jauh dari pusat kota. Selain itu, ada banyak transportasi umum yang menuju ke tempat ini atau bisa juga menggunakan jasa transportasi online.",Bahari,Jakarta,https://visitpulauseribu.co.id/wp-content/uploads/2024/04/Dermaga-Marina-Ancol-e1712059888701.jpg|https://www.hotelmurah.com/ceritawisata/wp-content/uploads/2019/09/pelabuhan-marina-758x503.jpg
10,Pulau Tidung,"Pulau Tidung adalah salah satu kelurahan di kecamatan Kepulauan Seribu Selatan, Kabupaten Kepulauan Seribu, Jakarta, Indonesia.",Bahari,Jakarta,https://kelilingnusantara.com/wp-content/uploads/2017/05/Wisata-Pulau-Tidung.jpg|https://dinowisata.com/wp-content/uploads/2020/03/Objek-Wisata-Jembatan-Cinta-Pulau-Tidung-@ayu.rtn12.jpg|https://tempatpopuler.com/wp-content/uploads/2024/03/Wisata-Pulau-Tidung-Kepulauan-Seribu.webp
